instance,num_colors,time,GIter,CIter,CSize
100.col,6,1670,25,25,3
10.col,6,1848,25,25,3
11.col,6,1781,25,25,3
12.col,5,1827,25,25,3
13.col,6,1748,25,25,3
14.col,5,1767,25,25,3
15.col,5,1542,25,25,3
16.col,5,1746,25,25,3
17.col,5,1387,25,25,3
18.col,5,1577,25,25,3
19.col,5,1443,25,25,3
1.col,5,1549,25,25,3
20.col,5,1646,25,25,3
21.col,5,1406,25,25,3
22.col,5,1453,25,25,3
23.col,5,1611,25,25,3
24.col,5,1577,25,25,3
25.col,5,1864,25,25,3
26.col,5,1726,25,25,3
27.col,5,1445,25,25,3
28.col,5,1519,25,25,3
29.col,5,1767,25,25,3
2.col,5,1667,25,25,3
30.col,5,1625,25,25,3
31.col,5,1637,25,25,3
32.col,5,1702,25,25,3
33.col,5,1431,25,25,3
34.col,5,1607,25,25,3
35.col,6,1553,25,25,3
36.col,5,1468,25,25,3
37.col,5,1436,25,25,3
38.col,5,1457,25,25,3
39.col,5,1508,25,25,3
3.col,5,1297,25,25,3
40.col,5,1397,25,25,3
41.col,5,1392,25,25,3
42.col,5,1496,25,25,3
43.col,5,1654,25,25,3
44.col,5,1849,25,25,3
45.col,5,1742,25,25,3
46.col,6,1474,25,25,3
47.col,5,1553,25,25,3
48.col,5,1494,25,25,3
49.col,6,1540,25,25,3
4.col,5,1429,25,25,3
50.col,6,1413,25,25,3
51.col,5,1502,25,25,3
52.col,5,1405,25,25,3
53.col,6,1512,25,25,3
54.col,5,1406,25,25,3
55.col,5,1502,25,25,3
56.col,5,1380,25,25,3
57.col,5,1462,25,25,3
58.col,5,1516,25,25,3
59.col,5,1443,25,25,3
5.col,6,1432,25,25,3
60.col,6,1540,25,25,3
61.col,5,1592,25,25,3
62.col,5,1569,25,25,3
63.col,5,1637,25,25,3
64.col,5,1550,25,25,3
65.col,5,1635,25,25,3
66.col,5,1610,25,25,3
67.col,5,1770,25,25,3
68.col,5,1522,25,25,3
69.col,5,1363,25,25,3
6.col,5,1377,25,25,3
70.col,5,1327,25,25,3
71.col,5,1438,25,25,3
72.col,6,1476,25,25,3
73.col,5,1465,25,25,3
74.col,6,1532,25,25,3
75.col,5,1683,25,25,3
76.col,6,1532,25,25,3
77.col,6,1591,25,25,3
78.col,5,1365,25,25,3
79.col,5,1372,25,25,3
7.col,6,1526,25,25,3
80.col,5,1437,25,25,3
81.col,5,1279,25,25,3
82.col,6,1539,25,25,3
83.col,5,1552,25,25,3
84.col,5,1400,25,25,3
85.col,5,1339,25,25,3
86.col,5,1385,25,25,3
87.col,5,1492,25,25,3
88.col,5,1438,25,25,3
89.col,6,1474,25,25,3
8.col,5,1385,25,25,3
90.col,5,1366,25,25,3
91.col,5,1443,25,25,3
92.col,6,1700,25,25,3
93.col,5,1338,25,25,3
94.col,6,1432,25,25,3
95.col,6,1635,25,25,3
96.col,5,1749,25,25,3
97.col,5,1738,25,25,3
98.col,5,1372,25,25,3
99.col,5,1427,25,25,3
9.col,6,1469,25,25,3
