instance,num_colors,time,GIter,CIter,CSize
1.col,3,3,25,25,3
2.col,3,3,25,25,3
3.col,3,3,25,25,3
4.col,3,2,25,25,3
5.col,3,3,25,25,3
6.col,3,2,25,25,3
7.col,3,3,25,25,3
8.col,3,3,25,25,3
9.col,3,3,25,25,3
10.col,3,4,25,25,3
11.col,2,3,25,25,3
12.col,2,3,25,25,3
13.col,3,3,25,25,3
14.col,3,3,25,25,3
15.col,3,2,25,25,3
16.col,3,3,25,25,3
17.col,3,2,25,25,3
18.col,3,3,25,25,3
19.col,3,3,25,25,3
20.col,3,3,25,25,3
21.col,3,2,25,25,3
22.col,3,2,25,25,3
23.col,3,2,25,25,3
24.col,3,3,25,25,3
25.col,3,3,25,25,3
26.col,3,4,25,25,3
27.col,3,3,25,25,3
28.col,3,3,25,25,3
29.col,3,3,25,25,3
30.col,3,3,25,25,3
31.col,3,3,25,25,3
32.col,3,3,25,25,3
33.col,3,3,25,25,3
34.col,3,3,25,25,3
35.col,3,3,25,25,3
36.col,3,3,25,25,3
37.col,3,2,25,25,3
38.col,3,2,25,25,3
39.col,3,2,25,25,3
40.col,3,3,25,25,3
41.col,3,3,25,25,3
42.col,3,3,25,25,3
43.col,3,2,25,25,3
44.col,3,3,25,25,3
45.col,3,2,25,25,3
46.col,3,2,25,25,3
47.col,3,3,25,25,3
48.col,3,3,25,25,3
49.col,3,3,25,25,3
50.col,3,3,25,25,3
51.col,4,3,25,25,3
52.col,3,3,25,25,3
53.col,3,3,25,25,3
54.col,3,3,25,25,3
55.col,3,3,25,25,3
56.col,4,2,25,25,3
57.col,3,3,25,25,3
58.col,3,2,25,25,3
59.col,3,3,25,25,3
60.col,3,3,25,25,3
61.col,3,2,25,25,3
62.col,3,2,25,25,3
63.col,3,3,25,25,3
64.col,3,3,25,25,3
65.col,3,2,25,25,3
66.col,3,3,25,25,3
67.col,3,3,25,25,3
68.col,3,3,25,25,3
69.col,3,3,25,25,3
70.col,3,3,25,25,3
71.col,3,2,25,25,3
72.col,3,3,25,25,3
73.col,3,3,25,25,3
74.col,3,3,25,25,3
75.col,3,3,25,25,3
76.col,3,3,25,25,3
77.col,3,3,25,25,3
78.col,3,3,25,25,3
79.col,3,3,25,25,3
80.col,3,3,25,25,3
81.col,3,3,25,25,3
82.col,3,3,25,25,3
83.col,3,3,25,25,3
84.col,3,3,25,25,3
85.col,3,3,25,25,3
86.col,3,3,25,25,3
87.col,3,3,25,25,3
88.col,3,2,25,25,3
89.col,3,3,25,25,3
90.col,3,3,25,25,3
91.col,3,2,25,25,3
92.col,3,3,25,25,3
93.col,3,3,25,25,3
94.col,4,3,25,25,3
95.col,3,2,25,25,3
96.col,3,2,25,25,3
97.col,3,2,25,25,3
98.col,3,3,25,25,3
99.col,3,3,25,25,3
100.col,3,3,25,25,3
