instance,num_colors,time,pr_solutions
100.col,10,46972,10
10.col,10,44110,10
11.col,10,43652,10
12.col,10,41013,10
13.col,9,40344,10
14.col,10,44269,10
15.col,10,61683,10
16.col,9,57909,10
17.col,9,56108,10
18.col,9,58820,10
19.col,10,59645,10
1.col,10,59296,10
20.col,9,57386,10
21.col,10,57608,10
22.col,9,58319,10
23.col,10,57434,10
24.col,10,58126,10
25.col,10,58419,10
26.col,10,57428,10
27.col,10,58429,10
28.col,10,59306,10
29.col,10,59981,10
2.col,9,55445,10
30.col,9,58834,10
31.col,9,56764,10
32.col,9,35738,10
33.col,9,38354,10
34.col,10,58639,10
35.col,10,61764,10
36.col,9,62265,10
37.col,9,63433,10
38.col,10,62623,10
39.col,10,64453,10
3.col,9,58939,10
40.col,9,58293,10
41.col,10,59151,10
42.col,10,58834,10
43.col,9,35045,10
44.col,10,60532,10
45.col,10,58109,10
46.col,9,58984,10
47.col,10,59375,10
48.col,9,58688,10
49.col,9,60755,10
4.col,10,60244,10
50.col,10,64498,10
51.col,10,57761,10
52.col,9,55864,10
53.col,10,57923,10
54.col,9,36604,10
55.col,10,59092,10
56.col,9,59536,10
57.col,9,57984,10
58.col,10,33389,10
59.col,10,40196,10
5.col,10,40409,10
60.col,9,59304,10
61.col,9,58763,10
62.col,10,59333,10
63.col,9,59986,10
64.col,9,59328,10
65.col,10,58640,10
66.col,9,58469,10
67.col,9,57683,10
68.col,10,58784,10
69.col,10,62529,10
6.col,9,56878,10
70.col,9,53048,10
71.col,9,33613,10
72.col,9,56954,10
73.col,9,55884,10
74.col,9,53914,10
75.col,9,54298,10
76.col,10,34520,10
77.col,9,38810,10
78.col,10,58419,10
79.col,10,59500,10
7.col,10,58560,10
80.col,9,35380,10
81.col,10,58823,10
82.col,10,53260,10
83.col,10,57121,10
84.col,10,55076,10
85.col,10,33562,10
86.col,9,37642,10
87.col,9,57794,10
88.col,10,60740,10
89.col,10,34010,10
8.col,9,58233,10
90.col,10,57480,10
91.col,9,32613,10
92.col,9,60241,10
93.col,9,56285,10
94.col,9,33588,10
95.col,10,58797,10
96.col,10,54404,10
97.col,10,34508,10
98.col,10,37911,10
99.col,10,58273,10
9.col,10,58730,10
