instance,num_colors,time,generations,population_size,offspring_size,mutation_probaility,population_ratio
100.col,3,1939,80000,100,2,0.01,0.2
10.col,3,2197,80000,100,2,0.01,0.2
11.col,3,1970,80000,100,2,0.01,0.2
12.col,3,2133,80000,100,2,0.01,0.2
13.col,3,2372,80000,100,2,0.01,0.2
14.col,4,2392,80000,100,2,0.01,0.2
15.col,3,2268,80000,100,2,0.01,0.2
16.col,4,2125,80000,100,2,0.01,0.2
17.col,3,2065,80000,100,2,0.01,0.2
18.col,3,1895,80000,100,2,0.01,0.2
19.col,3,2690,80000,100,2,0.01,0.2
1.col,4,2057,80000,100,2,0.01,0.2
20.col,4,2219,80000,100,2,0.01,0.2
21.col,4,2159,80000,100,2,0.01,0.2
22.col,3,1897,80000,100,2,0.01,0.2
23.col,3,1874,80000,100,2,0.01,0.2
24.col,3,1847,80000,100,2,0.01,0.2
25.col,3,1902,80000,100,2,0.01,0.2
26.col,3,1843,80000,100,2,0.01,0.2
27.col,4,1871,80000,100,2,0.01,0.2
28.col,4,3044,80000,100,2,0.01,0.2
29.col,4,4249,80000,100,2,0.01,0.2
2.col,3,4400,80000,100,2,0.01,0.2
30.col,3,4329,80000,100,2,0.01,0.2
31.col,3,2319,80000,100,2,0.01,0.2
32.col,4,1858,80000,100,2,0.01,0.2
33.col,4,3409,80000,100,2,0.01,0.2
34.col,3,4564,80000,100,2,0.01,0.2
35.col,3,4372,80000,100,2,0.01,0.2
36.col,4,2633,80000,100,2,0.01,0.2
37.col,3,1674,80000,100,2,0.01,0.2
38.col,4,2585,80000,100,2,0.01,0.2
39.col,4,4420,80000,100,2,0.01,0.2
3.col,3,4727,80000,100,2,0.01,0.2
40.col,4,3902,80000,100,2,0.01,0.2
41.col,3,1776,80000,100,2,0.01,0.2
42.col,3,2467,80000,100,2,0.01,0.2
43.col,4,4476,80000,100,2,0.01,0.2
44.col,3,3588,80000,100,2,0.01,0.2
45.col,4,1675,80000,100,2,0.01,0.2
46.col,4,1775,80000,100,2,0.01,0.2
47.col,3,4105,80000,100,2,0.01,0.2
48.col,4,1805,80000,100,2,0.01,0.2
49.col,3,1701,80000,100,2,0.01,0.2
4.col,3,3614,80000,100,2,0.01,0.2
50.col,3,4205,80000,100,2,0.01,0.2
51.col,4,2117,80000,100,2,0.01,0.2
52.col,4,1746,80000,100,2,0.01,0.2
53.col,4,3036,80000,100,2,0.01,0.2
54.col,3,2747,80000,100,2,0.01,0.2
55.col,3,1742,80000,100,2,0.01,0.2
56.col,4,2490,80000,100,2,0.01,0.2
57.col,3,4347,80000,100,2,0.01,0.2
58.col,3,3218,80000,100,2,0.01,0.2
59.col,4,1700,80000,100,2,0.01,0.2
5.col,3,2034,80000,100,2,0.01,0.2
60.col,4,3886,80000,100,2,0.01,0.2
61.col,3,1767,80000,100,2,0.01,0.2
62.col,4,1715,80000,100,2,0.01,0.2
63.col,4,3776,80000,100,2,0.01,0.2
64.col,3,2690,80000,100,2,0.01,0.2
65.col,3,1638,80000,100,2,0.01,0.2
66.col,4,2501,80000,100,2,0.01,0.2
67.col,3,4109,80000,100,2,0.01,0.2
68.col,3,4192,80000,100,2,0.01,0.2
69.col,3,3217,80000,100,2,0.01,0.2
6.col,3,1684,80000,100,2,0.01,0.2
70.col,4,1862,80000,100,2,0.01,0.2
71.col,4,4228,80000,100,2,0.01,0.2
72.col,3,2621,80000,100,2,0.01,0.2
73.col,3,1653,80000,100,2,0.01,0.2
74.col,4,2338,80000,100,2,0.01,0.2
75.col,4,3491,80000,100,2,0.01,0.2
76.col,3,1693,80000,100,2,0.01,0.2
77.col,4,1747,80000,100,2,0.01,0.2
78.col,3,3993,80000,100,2,0.01,0.2
79.col,3,4076,80000,100,2,0.01,0.2
7.col,3,4256,80000,100,2,0.01,0.2
80.col,4,2851,80000,100,2,0.01,0.2
81.col,4,1635,80000,100,2,0.01,0.2
82.col,3,2213,80000,100,2,0.01,0.2
83.col,3,3669,80000,100,2,0.01,0.2
84.col,4,1706,80000,100,2,0.01,0.2
85.col,3,1774,80000,100,2,0.01,0.2
86.col,4,4057,80000,100,2,0.01,0.2
87.col,4,3570,80000,100,2,0.01,0.2
88.col,3,1660,80000,100,2,0.01,0.2
89.col,4,1731,80000,100,2,0.01,0.2
8.col,3,4166,80000,100,2,0.01,0.2
90.col,3,2911,80000,100,2,0.01,0.2
91.col,3,1684,80000,100,2,0.01,0.2
92.col,3,2482,80000,100,2,0.01,0.2
93.col,3,3451,80000,100,2,0.01,0.2
94.col,4,1694,80000,100,2,0.01,0.2
95.col,4,1830,80000,100,2,0.01,0.2
96.col,3,4165,80000,100,2,0.01,0.2
97.col,4,4218,80000,100,2,0.01,0.2
98.col,4,2870,80000,100,2,0.01,0.2
99.col,3,1982,80000,100,2,0.01,0.2
9.col,3,2574,80000,100,2,0.01,0.2
