instance,num_colors,time,generations,population_size,offspring_size,mutation_probaility,population_ratio
100.col,7,4096,80000,100,2,0.01,0.2
10.col,8,5346,80000,100,2,0.01,0.2
11.col,7,5336,80000,100,2,0.01,0.2
12.col,7,5986,80000,100,2,0.01,0.2
13.col,7,9615,80000,100,2,0.01,0.2
14.col,7,9769,80000,100,2,0.01,0.2
15.col,7,9210,80000,100,2,0.01,0.2
16.col,7,8971,80000,100,2,0.01,0.2
17.col,7,9575,80000,100,2,0.01,0.2
18.col,7,9289,80000,100,2,0.01,0.2
19.col,6,9723,80000,100,2,0.01,0.2
1.col,8,10110,80000,100,2,0.01,0.2
20.col,8,9580,80000,100,2,0.01,0.2
21.col,7,9447,80000,100,2,0.01,0.2
22.col,7,9286,80000,100,2,0.01,0.2
23.col,7,9856,80000,100,2,0.01,0.2
24.col,7,9947,80000,100,2,0.01,0.2
25.col,8,9634,80000,100,2,0.01,0.2
26.col,8,8978,80000,100,2,0.01,0.2
27.col,7,9106,80000,100,2,0.01,0.2
28.col,7,8930,80000,100,2,0.01,0.2
29.col,8,9383,80000,100,2,0.01,0.2
2.col,8,9308,80000,100,2,0.01,0.2
30.col,7,8917,80000,100,2,0.01,0.2
31.col,7,8922,80000,100,2,0.01,0.2
32.col,7,9353,80000,100,2,0.01,0.2
33.col,7,10213,80000,100,2,0.01,0.2
34.col,7,10067,80000,100,2,0.01,0.2
35.col,7,10889,80000,100,2,0.01,0.2
36.col,8,9684,80000,100,2,0.01,0.2
37.col,8,9399,80000,100,2,0.01,0.2
38.col,7,11154,80000,100,2,0.01,0.2
39.col,7,10089,80000,100,2,0.01,0.2
3.col,7,10819,80000,100,2,0.01,0.2
40.col,7,10554,80000,100,2,0.01,0.2
41.col,7,8889,80000,100,2,0.01,0.2
42.col,8,9302,80000,100,2,0.01,0.2
43.col,7,9200,80000,100,2,0.01,0.2
44.col,7,9767,80000,100,2,0.01,0.2
45.col,8,9258,80000,100,2,0.01,0.2
46.col,7,9756,80000,100,2,0.01,0.2
47.col,8,9391,80000,100,2,0.01,0.2
48.col,7,8954,80000,100,2,0.01,0.2
49.col,8,9331,80000,100,2,0.01,0.2
4.col,8,9457,80000,100,2,0.01,0.2
50.col,7,9856,80000,100,2,0.01,0.2
51.col,7,9862,80000,100,2,0.01,0.2
52.col,7,9125,80000,100,2,0.01,0.2
53.col,8,9292,80000,100,2,0.01,0.2
54.col,8,10023,80000,100,2,0.01,0.2
55.col,7,9526,80000,100,2,0.01,0.2
56.col,7,9454,80000,100,2,0.01,0.2
57.col,7,9362,80000,100,2,0.01,0.2
58.col,7,9318,80000,100,2,0.01,0.2
59.col,7,9558,80000,100,2,0.01,0.2
5.col,7,9070,80000,100,2,0.01,0.2
60.col,8,9556,80000,100,2,0.01,0.2
61.col,7,9307,80000,100,2,0.01,0.2
62.col,8,9210,80000,100,2,0.01,0.2
63.col,8,9547,80000,100,2,0.01,0.2
64.col,7,9171,80000,100,2,0.01,0.2
65.col,8,9568,80000,100,2,0.01,0.2
66.col,8,9143,80000,100,2,0.01,0.2
67.col,7,5291,80000,100,2,0.01,0.2
68.col,8,8355,80000,100,2,0.01,0.2
69.col,7,9655,80000,100,2,0.01,0.2
6.col,6,9586,80000,100,2,0.01,0.2
70.col,7,9200,80000,100,2,0.01,0.2
71.col,7,9588,80000,100,2,0.01,0.2
72.col,8,9440,80000,100,2,0.01,0.2
73.col,7,9477,80000,100,2,0.01,0.2
74.col,7,9373,80000,100,2,0.01,0.2
75.col,7,9661,80000,100,2,0.01,0.2
76.col,7,9696,80000,100,2,0.01,0.2
77.col,8,9097,80000,100,2,0.01,0.2
78.col,7,5328,80000,100,2,0.01,0.2
79.col,6,7691,80000,100,2,0.01,0.2
7.col,7,9123,80000,100,2,0.01,0.2
80.col,7,9353,80000,100,2,0.01,0.2
81.col,7,9869,80000,100,2,0.01,0.2
82.col,7,9597,80000,100,2,0.01,0.2
83.col,8,8210,80000,100,2,0.01,0.2
84.col,7,5232,80000,100,2,0.01,0.2
85.col,6,9458,80000,100,2,0.01,0.2
86.col,7,9225,80000,100,2,0.01,0.2
87.col,7,8083,80000,100,2,0.01,0.2
88.col,7,5057,80000,100,2,0.01,0.2
89.col,7,9246,80000,100,2,0.01,0.2
8.col,6,8090,80000,100,2,0.01,0.2
90.col,8,5737,80000,100,2,0.01,0.2
91.col,8,9859,80000,100,2,0.01,0.2
92.col,7,9401,80000,100,2,0.01,0.2
93.col,7,9409,80000,100,2,0.01,0.2
94.col,7,9627,80000,100,2,0.01,0.2
95.col,8,9100,80000,100,2,0.01,0.2
96.col,7,6988,80000,100,2,0.01,0.2
97.col,7,6381,80000,100,2,0.01,0.2
98.col,7,9456,80000,100,2,0.01,0.2
99.col,7,9274,80000,100,2,0.01,0.2
9.col,7,9599,80000,100,2,0.01,0.2
