instance,num_colors,time,pr_solutions
100.col,6,770,10
10.col,6,726,10
11.col,5,742,10
12.col,6,978,10
13.col,6,1369,10
14.col,5,1101,10
15.col,6,1163,10
16.col,6,988,10
17.col,5,930,10
18.col,5,1127,10
19.col,5,974,10
1.col,6,1047,10
20.col,5,1056,10
21.col,6,1077,10
22.col,6,985,10
23.col,5,968,10
24.col,5,1002,10
25.col,5,1034,10
26.col,6,960,10
27.col,6,948,10
28.col,5,1040,10
29.col,6,1072,10
2.col,5,1058,10
30.col,5,953,10
31.col,5,946,10
32.col,5,1034,10
33.col,6,999,10
34.col,6,1147,10
35.col,6,1019,10
36.col,5,971,10
37.col,6,1023,10
38.col,5,997,10
39.col,5,1078,10
3.col,6,1003,10
40.col,6,982,10
41.col,5,992,10
42.col,6,1025,10
43.col,5,1013,10
44.col,5,1027,10
45.col,5,983,10
46.col,6,1012,10
47.col,6,997,10
48.col,6,1051,10
49.col,6,1108,10
4.col,5,986,10
50.col,6,1060,10
51.col,6,952,10
52.col,6,1192,10
53.col,6,1049,10
54.col,6,998,10
55.col,6,1039,10
56.col,5,914,10
57.col,6,990,10
58.col,6,1053,10
59.col,5,1160,10
5.col,6,1000,10
60.col,6,1079,10
61.col,6,1083,10
62.col,5,1091,10
63.col,5,1173,10
64.col,6,1217,10
65.col,6,1307,10
66.col,6,1305,10
67.col,5,1140,10
68.col,5,1161,10
69.col,5,1043,10
6.col,5,1074,10
70.col,5,1029,10
71.col,6,1059,10
72.col,6,1075,10
73.col,5,1105,10
74.col,6,1298,10
75.col,5,1063,10
76.col,6,1173,10
77.col,6,1095,10
78.col,6,984,10
79.col,5,1074,10
7.col,5,1203,10
80.col,6,1047,10
81.col,5,941,10
82.col,6,1079,10
83.col,5,1056,10
84.col,5,971,10
85.col,6,1210,10
86.col,6,1072,10
87.col,6,1050,10
88.col,5,902,10
89.col,6,1049,10
8.col,5,1008,10
90.col,6,1003,10
91.col,5,1146,10
92.col,5,1132,10
93.col,5,1004,10
94.col,6,1019,10
95.col,5,1122,10
96.col,5,1050,10
97.col,6,1120,10
98.col,6,1006,10
99.col,6,1056,10
9.col,6,1092,10
