instance,num_colors,time,pr_solutions
fpsol2.i.1.col,65,191525,10
fpsol2.i.2.col,30,179542,10
fpsol2.i.3.col,30,111735,10
inithx.i.1.col,54,1144619,10
inithx.i.2.col,31,485073,10
inithx.i.3.col,31,447300,10
mulsol.i.1.col,49,11505,10
mulsol.i.2.col,31,17797,10
mulsol.i.3.col,31,16891,10
mulsol.i.4.col,31,17158,10
mulsol.i.5.col,31,17716,10
zeroin.i.1.col,49,22725,10
zeroin.i.2.col,30,18110,10
zeroin.i.3.col,30,17559,10
