instance,num_colors,time,pr_solutions
le450_15a.col,17,281999,10
le450_15b.col,17,377799,10
le450_15c.col,23,842290,10
le450_15d.col,23,627060,10
le450_25a.col,25,312279,10
le450_25b.col,25,229874,10
le450_25c.col,28,767742,10
le450_25d.col,28,855827,10
le450_5a.col,5,391996,10
le450_5b.col,5,542296,10
le450_5c.col,5,1076882,10
le450_5d.col,5,963822,10
