instance,num_colors,time,generations,population_size,offspring_size,mutation_probaility,population_ratio
100.col,57,55502,80000,100,2,0.01,0.2
10.col,56,61940,80000,100,2,0.01,0.2
11.col,59,92828,80000,100,2,0.01,0.2
12.col,59,105260,80000,100,2,0.01,0.2
13.col,58,104949,80000,100,2,0.01,0.2
14.col,57,110412,80000,100,2,0.01,0.2
15.col,59,118304,80000,100,2,0.01,0.2
16.col,56,111566,80000,100,2,0.01,0.2
17.col,58,107254,80000,100,2,0.01,0.2
18.col,57,108825,80000,100,2,0.01,0.2
19.col,56,109390,80000,100,2,0.01,0.2
1.col,58,104328,80000,100,2,0.01,0.2
20.col,54,97927,80000,100,2,0.01,0.2
21.col,56,94913,80000,100,2,0.01,0.2
22.col,60,81526,80000,100,2,0.01,0.2
23.col,55,55451,80000,100,2,0.01,0.2
24.col,57,55625,80000,100,2,0.01,0.2
25.col,58,66022,80000,100,2,0.01,0.2
26.col,55,99030,80000,100,2,0.01,0.2
27.col,54,93118,80000,100,2,0.01,0.2
28.col,57,88151,80000,100,2,0.01,0.2
29.col,57,81482,80000,100,2,0.01,0.2
2.col,58,82011,80000,100,2,0.01,0.2
30.col,57,79444,80000,100,2,0.01,0.2
31.col,55,79155,80000,100,2,0.01,0.2
32.col,57,83899,80000,100,2,0.01,0.2
33.col,58,72395,80000,100,2,0.01,0.2
34.col,56,55723,80000,100,2,0.01,0.2
35.col,56,106103,80000,100,2,0.01,0.2
36.col,56,97237,80000,100,2,0.01,0.2
37.col,55,104562,80000,100,2,0.01,0.2
38.col,57,86516,80000,100,2,0.01,0.2
39.col,57,53423,80000,100,2,0.01,0.2
3.col,57,60728,80000,100,2,0.01,0.2
40.col,56,108007,80000,100,2,0.01,0.2
41.col,56,94974,80000,100,2,0.01,0.2
42.col,57,96992,80000,100,2,0.01,0.2
43.col,59,97070,80000,100,2,0.01,0.2
44.col,58,100268,80000,100,2,0.01,0.2
45.col,59,93661,80000,100,2,0.01,0.2
46.col,56,107123,80000,100,2,0.01,0.2
47.col,57,111078,80000,100,2,0.01,0.2
48.col,55,95503,80000,100,2,0.01,0.2
49.col,57,89929,80000,100,2,0.01,0.2
4.col,57,68135,80000,100,2,0.01,0.2
50.col,55,74190,80000,100,2,0.01,0.2
51.col,58,62568,80000,100,2,0.01,0.2
52.col,57,68122,80000,100,2,0.01,0.2
53.col,60,102784,80000,100,2,0.01,0.2
54.col,58,97679,80000,100,2,0.01,0.2
55.col,56,63435,80000,100,2,0.01,0.2
56.col,59,54572,80000,100,2,0.01,0.2
57.col,58,93618,80000,100,2,0.01,0.2
58.col,53,88630,80000,100,2,0.01,0.2
59.col,56,108639,80000,100,2,0.01,0.2
5.col,57,100189,80000,100,2,0.01,0.2
60.col,57,109437,80000,100,2,0.01,0.2
61.col,56,108781,80000,100,2,0.01,0.2
62.col,59,96372,80000,100,2,0.01,0.2
63.col,57,89290,80000,100,2,0.01,0.2
64.col,56,58593,80000,100,2,0.01,0.2
65.col,58,60248,80000,100,2,0.01,0.2
66.col,59,102253,80000,100,2,0.01,0.2
67.col,56,56795,80000,100,2,0.01,0.2
68.col,59,70729,80000,100,2,0.01,0.2
69.col,61,57694,80000,100,2,0.01,0.2
6.col,55,59550,80000,100,2,0.01,0.2
70.col,59,73255,80000,100,2,0.01,0.2
71.col,56,55403,80000,100,2,0.01,0.2
72.col,58,51140,80000,100,2,0.01,0.2
73.col,59,69211,80000,100,2,0.01,0.2
74.col,56,49902,80000,100,2,0.01,0.2
75.col,56,64166,80000,100,2,0.01,0.2
76.col,56,56663,80000,100,2,0.01,0.2
77.col,56,54557,80000,100,2,0.01,0.2
78.col,58,52742,80000,100,2,0.01,0.2
79.col,58,57883,80000,100,2,0.01,0.2
7.col,56,67423,80000,100,2,0.01,0.2
80.col,55,53668,80000,100,2,0.01,0.2
81.col,60,52992,80000,100,2,0.01,0.2
82.col,57,59981,80000,100,2,0.01,0.2
83.col,60,51362,80000,100,2,0.01,0.2
84.col,57,61740,80000,100,2,0.01,0.2
85.col,60,56352,80000,100,2,0.01,0.2
86.col,57,58442,80000,100,2,0.01,0.2
87.col,57,54591,80000,100,2,0.01,0.2
88.col,57,52334,80000,100,2,0.01,0.2
89.col,55,55376,80000,100,2,0.01,0.2
8.col,55,56693,80000,100,2,0.01,0.2
90.col,56,53944,80000,100,2,0.01,0.2
91.col,56,65607,80000,100,2,0.01,0.2
92.col,59,54989,80000,100,2,0.01,0.2
93.col,55,57663,80000,100,2,0.01,0.2
94.col,58,40512,80000,100,2,0.01,0.2
95.col,58,56188,80000,100,2,0.01,0.2
96.col,62,55930,80000,100,2,0.01,0.2
97.col,56,66858,80000,100,2,0.01,0.2
98.col,55,55629,80000,100,2,0.01,0.2
99.col,55,50590,80000,100,2,0.01,0.2
9.col,58,54974,80000,100,2,0.01,0.2
